title,year,director,music_director,votes
"Little Hearts","2025","Sai Marthand","Sinjith yerramilli","18"
"Life Is Beautiful","2012","Sekhar Kammula","Mickey J Meyer","18"
"Legend","2014","Boyapati Srinu","Devi Sri Prasad","18"
"Katamarayudu","2017","Kishore Kumar Pardasani","Anup Rubens","18"
"Chi La Sow","2018","Rahul Ravindran","Prashanth R Vihari","18"
"Athidhi","2007","Surender Reddy","Mani Sharma","18"
"Sainikudu","2006","Gunasekhar","Harris Jayaraj","18"
"GodFather","2022","Mohan Raja","S. Thaman","18"
"Kandireega","2011","Santosh Srinivas","S. Thaman","18"
"The Ghost","2022","Praveen Sattaru","Mark K. Robin","18"
"Ravanasura","2023","Sudheer Varma","Bheems Ceciroleo","18"
"(Tillu)²","2024","Mallik Ram","Ram Miriyala","17"
"BRO","2023","Samuthirakani","S. Thaman","17"
"Cameraman Ganga Tho Rambabu","2012","Puri Jagannadh","Mani Sharma","17"
"Endukante Premanta","2012","A. Karunakaran","G. V. Prakash Kumar","17"
"Malli Malli Idhi Rani Roju","2015","Kranthi Madhav","Gopi Sundar","17"
"Bengal Tiger","2015","Sampath Nandi","Bheems Ceciroleo","17"
"Ek Niranjan","2009","Puri Jagannadh","Mani Sharma","17"
"Majnu","2016","Virinchi Varma","Gopi Sundar","17"
"Mahanubhavudu","2017","Maruthi Dasari","S. Thaman","17"
"Malli Raava","2017","Gowtam Tinnanuri","Shravan Bharadwaj","17"
"Prati Roju Pandaage","2019","Maruthi Dasari","S. Thaman","17"
"Jaanu","2020","C. Prem Kumar","Govindh Vasantha","17"
"Godavari","2006","Sekhar Kammula","K M Radha Krishnan","17"
"Konchem Ishtam Konchem Kashtam","2009","Kishore Kumar","Loy Mendonsa","17"
"Bimbisara","2022","Malladi Vassishta","M.M. Keeravaani","17"
"Tiger Nageswara Rao","2023","Vamsee Krishna","G. V. Prakash Kumar","17"
"Balagam","2023","Venu Yeldandi","Bheems Ceciroleo","16"
"Thandel","2025","Chandoo Mondeti","Devi Sri Prasad","16"
"Akhanda 2: Thaandavam","2025","Boyapati Srinu","S. Thaman","16"
"Sankranthiki Vasthunam","2025","Anil Ravipudi","Bheems Ceciroleo","16"
"Subham","2025","Praveen Kandregula","Clinton Cerejo","16"
"Oka Laila Kosam","2014","Vijay Kumar Konda","Anup Rubens","16"
"Kick 2","2015","Surender Reddy","S. Thaman","16"
"Subramanyam For Sale","2015","Harish Shankar","Mickey J Meyer","16"
"Supreme","2016","Anil Ravipudi","Sai Karthik","16"
"Amar Akbar Anthony","2018","Sreenu Vaitla","S. Thaman","16"
"Ragada","2010","Veeru Potla","S. Thaman","16"
"Simha","2010","Boyapati Srinu","Chakri","16"
"N.T.R: Kathanayakudu","2019","Krish Jagarlamudi","M.M. Keeravaani","16"
"Gaganam","2011","Radha Mohan","Pravin Mani","16"
"Venky Mama","2019","Bobby Kolli","S. Thaman","16"
"Shakti","2011","Meher Ramesh","Mani Sharma","16"
"Shankar Dada Zindabad","2007","Prabhu Deva","Devi Sri Prasad","16"
"Aswathama","2020","Ramana Teja","Sricharan Pakala","16"
"Narappa","2021","Srikanth Addala","Mani Sharma","16"
"Most Eligible Bachelor","2021","Bhaskar","Gopi Sundar","16"
"Uma Maheswara Ugra Roopasya","2020","Venkatesh Maha","Bijibal","16"
"Zombie Reddy","2021","Prasanth Varma","Mark K. Robin","16"
"Cinema Bandi","2021","Praveen Kandregula","Sirish Satyavolu","16"
"Saakini Daakini","2022","Sudheer Varma","Naresh Kumaran","16"
"Bangarraju","2022","Kalyan Krishna","Anup Rubens","16"
"Oy!","2009","Anand Ranga","Yuvan Shankar Raja","16"
"Mangalavaaram","2023","Ajay Bhupathi","B. Ajaneesh Loknath","15"
"Chakram","2005","Krishna Vamsi","Chakri","15"
"Sarocharu","2012","Parasuram Petla","Devi Sri Prasad","15"
"Varudu","2010","Gunasekhar","Mani Sharma","15"
"Heart Attack","2014","Puri Jagannadh","Anup Rubens","15"
"Pandaga Chesko","2015","Gopichand Malineni","S. Thaman","15"
"Akhil","2015","V. V. Vinayak","S. Thaman","15"
"Gautamiputra Satakarni","2017","Krish Jagarlamudi","Chirantan Bhatt","15"
"Shatamanam Bhavati","2017","Satish Vegesna","Mickey J Meyer","15"
"LIE","2017","Hanu Raghavapudi","Mani Sharma","15"
"Shailaja Reddy Alludu","2018","Maruthi Dasari","Gopi Sundar","15"
"Nagavalli","2010","P. Vasu","Gurukiran","15"
"Aadavaallu Meeku Johaarlu","2022","Kishore Tirumala","Devi Sri Prasad","15"
"The Warriorr","2022","N. Linguswamy","Devi Sri Prasad","15"
"Krishna Vrinda Vihari","2022","Annish Krishna","Mahati Swara Sagar","15"
"DJ Tillu","2022","Vimal Krishna","Sricharan Pakala","15"
"Bhagavanth Kesari","2023","Anil Ravipudi","S. Thaman","15"
"Eagle","2024","Karthik Ghattamaneni","Davzand","14"
"#Single","2025","Caarthick Raju","Vishal Chandrasekhar","14"
"Daruvu","2012","Siva","Vijay Antony","14"
"Dhee","2007","Sreenu Vaitla","Chakri","14"
"Rarandoi Veduka Chudham","2017","Kalyan Krishna","Devi Sri Prasad","14"
"Anando Brahma","2017","Mahi V. Raghav","Krishna Kumar","14"
"Chal Mohan Ranga","2018","Krishna Chaitanya","S. Thaman","14"
"Veera","2011","Ramesh Varma","S. Thaman","14"
"Check","2021","Chandra Sekhar Yeleti","Kalyani Malik","14"
"Anukokunda Oka Roju","2005","Chandra Sekhar Yeleti","M.M. Keeravaani","14"
"Rakhi","2006","Krishna Vamsi","Devi Sri Prasad","14"
"Namo Venkatesa","2010","Sreenu Vaitla","Devi Sri Prasad","14"
"Amigos","2023","Rajendra Reddy","Ghibran","13"
"Masooda","2022","Sai Kiran","Prashanth R Vihari","13"
"Robinhood","2025","Venky Kudumula","G. V. Prakash Kumar","13"
"Double iSmart","2024","Puri Jagannadh","Mani Sharma","13"
"Jai Chiranjeeva","2005","K. Vijaya Bhaskar","Mani Sharma","13"
"Kannappa","2025","Mukesh Kumar Singh","Stephen Devassy","13"
"Damarukam","2012","Srinivas Reddy","Devi Sri Prasad","13"
"Super","2005","Puri Jagannadh","Sandeep Chowta","13"
"Swamy Ra Ra","2013","Sudheer Varma","Sunny M.R.","13"
"Devudu Chesina Manushulu","2012","Puri Jagannadh","Raghu Kunche","13"
"Shivam","2015","Sreenivasa Reddy","Devi Sri Prasad","13"
